,question,answer,language,section,wrong_answer
111,"While school’s out, how can I help my child continue learning?","

Stay in touch with your child’s school.

Many schools are offering lessons online (virtual learning). Review assignments from the school, and help your child establish a reasonable pace for completing the work. You may need to assist your child with turning on devices, reading instructions, and typing answers.
Communicate challenges to your school. If you face technology or connectivity issues, or if your child is having a hard time completing assignments, let the school know.


Create a schedule and routine for learning at home, but remain flexible.

Have consistent bedtimes, and get up at the same time, Monday through Friday.
Structure the day for learning, free time, healthy meals and snacks, and physical activity.
Allow flexibility in the schedule—it’s okay to adapt based on your day.


Consider the needs and adjustment required for your child’s age group.

The transition to being at home will be different for preschoolers, K-5, middle school students, and high school students. Talk to your child about expectations and how they are adjusting to being at home versus at school.
Consider ways your child can stay connected with their friends without spending time in person.


Look for ways to make learning fun.

Have hands-on activities, like puzzles, painting, drawing, and making things.
Independent play can also be used in place of structured learning. Encourage children to build a fort from sheets or practice counting by stacking blocks.
Practice handwriting and grammar by writing letters to family members. This is a great way to connect and limit face-to-face contact.
Start a journal with your child to document this time and discuss the shared experience.
Use audiobooks or see if your local library is hosting virtual or live-streamed reading events.



",english,Frequently Asked Questions,"COVID-19 is caused by a coronavirus called SARS-CoV-2. Coronaviruses are a large family of viruses that are common in people and may different species of animals, including camels, cattle, cats, and bats.  Rarely, animal coronaviruses can infect people and then spread between people. This occurred with MERS-CoV and SARS-CoV, and now with the virus that causes COVID-19. More information about the source and spread of COVID-19 is available on the Situation Summary: Source and Spread of the Virus."
112,"While school’s out, will kids have access to meals?",Check with your school on plans to continue meal services during the school dismissal. Many schools are keeping school facilities open to allow families to pick up meals or are providing grab-and-go meals at a central location.,english,Frequently Asked Questions,"COVID-19 is a new disease and there is limited information regarding risk factors for severe disease. Based on currently available information and clinical expertise, older adults and people of any age who have serious underlying medical conditions might be at higher risk for severe illness from COVID-19.
Based on what we know now, those at high-risk for severe illness from COVID-19 are:

People aged 65 years and older
People who live in a nursing home or long-term care facility

People of all ages with underlying medical conditions, particularly if not well controlled, including:

People with chronic lung disease or moderate to severe asthma
People who have serious heart conditions
People who are immunocompromised

Many conditions can cause a person to be immunocompromised, including cancer treatment, smoking, bone marrow or organ transplantation, immune deficiencies, poorly controlled HIV or AIDS, and prolonged use of corticosteroids and other immune weakening medications


People with severe obesity (body mass index [BMI] ≥40)
People with diabetes
People with chronic kidney disease undergoing dialysis
People with liver disease

"
113,"While school’s out, how can I keep my family healthy?","

Watch your child for any signs of illness.

If you see any sign of illness consistent with symptoms of COVID-19, particularly fever, cough, or shortness of breath, call your healthcare provider and keep your child at home and away from others as much as possible. Follow CDC’s guidance on “What to do if you are sick.”


Watch for signs of stress in your child.

Some common changes to watch for include excessive worry or sadness, unhealthy eating or sleeping habits, and difficulty with attention and concentration. For more information, see the “For Parents” section on CDC’s website, Manage Anxiety and Stress.
Take time to talk with your child or teen about the COVID-19 outbreak. Answer questions and share facts about COVID-19 in a way that your child or teen can understand.
Go to CDC’s Helping Children Cope with Emergencies or Talking with Children About COVID-19 for more information.


Teach and reinforce everyday preventive actions.

Parents and caretakers play an important role in teaching children to wash their hands. Explain that hand washing can keep them healthy and stop the virus from spreading to others.
Be a good role model—if you wash your hands often, they’re more likely to do the same.
Make handwashing a family activity.


Help your child stay active.

Encourage your child to play outdoors—it’s great for physical and mental health. Take a walk with your child or go on a bike ride.
Use indoor activity breaks (stretch breaks, dance breaks) throughout the day to help your child stay healthy and focused.


Help your child stay socially connected.

Reach out to friends and family via phone or video chats.
Write cards or letters to family members they may not be able to visit.
Some schools and non-profits, such as the Collaborative for Academic, Social, and Emotional Learningexternal iconexternal icon and The Yale Center for Emotional Intelligenceexternal iconexternal icon, have resources for social and emotional learning. Check to see if your school has tips and guidelines to help support social and emotional needs of your child.



",english,Frequently Asked Questions,"Generally, well-controlled means that your condition is stable, not life-threatening, and laboratory assessments and other findings are as similar as possible to those without the health condition. You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed."
114,"While school’s out, limit time with older adults, including relatives, and people with chronic medical conditions.","Older adults and people who have serious underlying medical conditions are at highest risk of getting sick from COVID-19.

If others in your home are at particularly high risk for severe illness from COVID-19, consider extra precautions to separate your child from those people.
If you are unable to stay home with your child during school dismissals, carefully consider who might be best positioned to provide childcare. If someone at higher risk for COVID-19 will be providing care (older adult, such as a grandparent or someone with a serious underlying medical condition), limit your children’s contact with other people.
Consider postponing visits or trip to see older family members and grandparents. Connect virtually or by writing letters and sending via mail.

",english,Frequently Asked Questions,"On February 11, 2020 the World Health Organization announced an official name for the disease that is causing the 2019 novel coronavirus outbreak, first identified in Wuhan China. The new name of this disease is coronavirus disease 2019, abbreviated as COVID-19. In COVID-19, ‘CO’ stands for ‘corona,’ ‘VI’ for ‘virus,’ and ‘D’ for disease. Formerly, this disease was referred to as “2019 novel coronavirus” or “2019-nCoV”.
There are many types of human coronaviruses including some that commonly cause mild upper-respiratory tract illnesses. COVID-19 is a new disease, caused be a novel (or new) coronavirus that has not previously been seen in humans. The name of this disease was selected following the World Health Organization (WHO) best practiceexternal iconexternal icon for naming of new human infectious diseases."
115,How can my family and I prepare for COVID-19?,"Create a household plan of action to help protect your health and the health of those you care about in the event of an outbreak of COVID-19 in your community:

Talk with the people who need to be included in your plan, and discuss what to do if a COVID-19 outbreak occurs in your community.
Plan ways to care for those who might be at greater risk for serious complications, particularly older adults and those with severe chronic medical conditions like heart, lung or kidney disease.

Make sure they have access to several weeks of medications and supplies in case you need to stay home for prolonged periods of time.


Get to know your neighbors and find out if your neighborhood has a website or social media page to stay connected.
Create a list of local organizations that you and your household can contact in the event you need access to information, healthcare services, support, and resources.
Create an emergency contact list of family, friends, neighbors, carpool drivers, health care providers, teachers, employers, the local public health department, and other community resources.

",english,Frequently Asked Questions,This is a rapidly evolving situation and the risk assessment may change daily. The latest updates are available on CDC’s Coronavirus Disease 2019 (COVID-19) website.
116,What steps can my family take to reduce our risk of getting COVID-19?,"Practice everyday preventive actions to help reduce your risk of getting sick and remind everyone in your home to do the same. These actions are especially important for older adults and people who have severe chronic medical conditions:

Avoid close contact with people who are sick.
Stay home when you are sick, except to get medical care.
Cover your coughs and sneezes with a tissue and throw the tissue in the trash.
Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.
If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.
Clean and disinfect frequently touched surfaces and objects (e.g., tables, countertops, light switches, doorknobs, and cabinet handles).
Launder items, including washable plush toys, as appropriate and in accordance with the manufacturer’s instructions. If possible, launder items using the warmest appropriate water setting for the items and dry items completely. Dirty laundry from an ill person can be washed with other people’s items.

",english,Frequently Asked Questions,"Follow the advice of your local health officials. Stay home if you can. Talk to your employer to discuss working from home, taking leave if you or someone in your household gets sick with COVID-19 symptoms, or if your child’s school is dismissed temporarily. Employers should be aware that more employees may need to stay at home to care for sick children or other sick family members than is usual in case of a community outbreak."
117,What should I do if someone in my house gets sick with COVID-19?,"Most people who get COVID-19 will be able to recover at home. CDC has directions for people who are recovering at home and their caregivers, including:

Stay home when you are sick, except to get medical care.

When to Seek Medical AttentionIf you develop emergency warning signs for COVID-19 get medical attention immediately. Emergency warning signs include*:

Trouble breathing
Persistent pain or pressure in the chest
New confusion or inability to arouse
Bluish lips or face

*This list is not all inclusive. Please consult your medical provider for any other symptoms that are severe or concerning.



Use a separate room and bathroom for sick household members (if possible).
Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.
If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.
Provide your sick household member with clean disposable facemasks to wear at home, if available, to help prevent spreading COVID-19 to others.
Clean the sick room and bathroom, as needed, to avoid unnecessary contact with the sick person.
Avoid sharing personal items like utensils, food, and drinks.

",english,Frequently Asked Questions,"Generally coronaviruses survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments. However, we don’t have direct data for this virus, nor do we have direct data for a temperature-based cutoff for inactivation at this point. The necessary temperature would also be based on the materials of the surface, the environment, etc. Regardless of temperature please follow CDC’s guidance for cleaning and disinfection."
118,"How can I prepare in case my child’s school, child care facility, or university is dismissed?","Talk to the school or facility about their emergency operations plan. Understand the plan for continuing education and social services (such as student meal programs) during school dismissals. If your child attends a college or university, encourage them to learn about the school’s plan for a COVID-19 outbreak.",english,Frequently Asked Questions,"Visit the COVID-19 Prevention and Treatment page to learn about how to protect yourself from respiratory illnesses, like COVID-19."
119,How can I prepare for COVID-19 at work?,"Plan for potential changes at your workplace. Talk to your employer about their emergency operations plan, including sick-leave policies and telework options. Learn how businesses and employers can plan for and respond to COVID-19.",english,Frequently Asked Questions,"

Watch your child for any signs of illness.

If you see any sign of illness consistent with symptoms of COVID-19, particularly fever, cough, or shortness of breath, call your healthcare provider and keep your child at home and away from others as much as possible. Follow CDC’s guidance on “What to do if you are sick.”


Watch for signs of stress in your child.

Some common changes to watch for include excessive worry or sadness, unhealthy eating or sleeping habits, and difficulty with attention and concentration. For more information, see the “For Parents” section on CDC’s website, Manage Anxiety and Stress.
Take time to talk with your child or teen about the COVID-19 outbreak. Answer questions and share facts about COVID-19 in a way that your child or teen can understand.
Go to CDC’s Helping Children Cope with Emergencies or Talking with Children About COVID-19 for more information.


Teach and reinforce everyday preventive actions.

Parents and caretakers play an important role in teaching children to wash their hands. Explain that hand washing can keep them healthy and stop the virus from spreading to others.
Be a good role model—if you wash your hands often, they’re more likely to do the same.
Make handwashing a family activity.


Help your child stay active.

Encourage your child to play outdoors—it’s great for physical and mental health. Take a walk with your child or go on a bike ride.
Use indoor activity breaks (stretch breaks, dance breaks) throughout the day to help your child stay healthy and focused.


Help your child stay socially connected.

Reach out to friends and family via phone or video chats.
Write cards or letters to family members they may not be able to visit.
Some schools and non-profits, such as the Collaborative for Academic, Social, and Emotional Learningexternal iconexternal icon and The Yale Center for Emotional Intelligenceexternal iconexternal icon, have resources for social and emotional learning. Check to see if your school has tips and guidelines to help support social and emotional needs of your child.



"
120,Should I use soap and water or a hand sanitizer to protect against COVID-19?,"Handwashing is one of the best ways to protect yourself and your family from getting sick. Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol.",english,Frequently Asked Questions,"CDC is working with other federal partners in a whole-of-government response. This is an emerging, rapidly evolving situation and CDC will continue to provide updated information as it becomes available. CDC works 24/7 to protect people’s health. More information about CDC’s response to COVID-19 is available online."
121,What cleaning products should I use to protect against COVID-19?,"Clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks.  If surfaces are dirty, clean them using detergent or soap and water prior to disinfection. To disinfect, most common EPA-registered household disinfectants will work. See CDC’s recommendations for household cleaning and disinfection.",english,Frequently Asked Questions,"Create a household plan of action to help protect your health and the health of those you care about in the event of an outbreak of COVID-19 in your community:

Talk with the people who need to be included in your plan, and discuss what to do if a COVID-19 outbreak occurs in your community.
Plan ways to care for those who might be at greater risk for serious complications, particularly older adults and those with severe chronic medical conditions like heart, lung or kidney disease.

Make sure they have access to several weeks of medications and supplies in case you need to stay home for prolonged periods of time.


Get to know your neighbors and find out if your neighborhood has a website or social media page to stay connected.
Create a list of local organizations that you and your household can contact in the event you need access to information, healthcare services, support, and resources.
Create an emergency contact list of family, friends, neighbors, carpool drivers, health care providers, teachers, employers, the local public health department, and other community resources.

"
122,Should I make my own hand sanitizer if I can’t find it in the stores?,"


CDC recommends handwashing with soap and water for at least 20 seconds or, using alcohol-based hand sanitizer with at least 60% alcohol when soap and water are not available. These actions are part of everyday preventive actions individuals can take to slow the spread of respiratory diseases like COVID-19.

When washing hands, you can use plain soap or antibacterial soap. Plain soap is as effective as antibacterial soap at removing germs.
If soap and water are not readily available, you can use an FDA-approved alcohol-based hand sanitizer that contains at least 60% alcohol. You can tell if the sanitizer contains at least 60% alcohol by looking at the product label.

CDC does not encourage the production and use of homemade hand sanitizer products because of concerns over the correct use of the ingredientsexternal iconexternal icon and the need to work under sterile conditions to make the product. Local industries that are looking into producing hand sanitizer to fill in for commercial shortages can refer to the World Health Organization guidancepdf iconexternal iconpdf iconexternal icon. Organizations should revert to the use of commercially produced, FDA-approved product once such supplies again become available.

To be effective against killing some types of germs, hand sanitizers need to have a strength of at least 60% alcohol and be used when hands are not visibly dirty or greasy.
Do not rely on “Do It Yourself” or “DIY” recipes based solely on essential oils or formulated without correct compounding practices.
Do not use hand sanitizer to disinfect frequently touched surfaces and objects. See CDC’s information for cleaning and sanitizing your home.

See FAQs about hand hygiene for healthcare personnel responding to COVID-2019.


",english,Frequently Asked Questions,"Quarantine means separating a person or group of people who have been exposed to a contagious disease but have not developed illness (symptoms) from others who have not been exposed, in order to prevent the possible spread of that disease. Quarantine is usually established for the incubation period of the communicable disease, which is the span of time during which people have developed illness after exposure. For COVID-19, the period of quarantine is 14 days from the last date of exposure because the incubation period for this virus is 2 to 14 days. Someone who has been released from COVID-19 quarantine is not considered a risk for spreading the virus to others because they have not developed illness during the incubation period."
123,What should I do if there is an outbreak in my community?,"During an outbreak, stay calm and put your preparedness plan to work. Follow the steps below:
Protect yourself and others.

Stay home if you are sick. Keep away from people who are sick. Limit close contact with others as much as possible (about 6 feet).

Put your household plan into action.

Stay informed about the local COVID-19 situation. Be aware of temporary school dismissals in your area, as this may affect your household’s daily routine.


Continue practicing everyday preventive actions. Cover coughs and sneezes with a tissue and wash your hands often with soap and water for at least 20 seconds. If soap and water are not available, use a hand sanitizer that contains 60% alcohol. Clean frequently touched surfaces and objects daily using a regular household detergent and water.
Notify your workplace as soon as possible if your regular work schedule changes. Ask to work from home or take leave if you or someone in your household gets sick with COVID-19 symptoms, or if your child’s school is dismissed temporarily. Learn how businesses and employers can plan for and respond to COVID-19.
Stay in touch with others by phone or email. If you have a chronic medical condition and live alone, ask family, friends, and health care providers to check on you during an outbreak. Stay in touch with family and friends, especially those at increased risk of developing severe illness, such as older adults and people with severe chronic medical conditions.

",english,Frequently Asked Questions,"Handwashing is one of the best ways to protect yourself and your family from getting sick. Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol."
124,Will schools be dismissed if there is an outbreak in my community?,"Depending on the situation, public health officials may recommend community actions to reduce exposures to COVID-19, such as school dismissals. Read or watch local media sources that report school dismissals or and watch for communication from your child’s school. If schools are dismissed temporarily, discourage students and staff from gathering or socializing anywhere, like at a friend’s house, a favorite restaurant, or the local shopping mall.",english,Frequently Asked Questions,"In light of new data about how COVID-19 spreads, along with evidence of widespread COVID-19 illness in communities across the country, CDC recommends that people wear a cloth face covering to cover their nose and mouth in the community setting. This is an additional public health measure people should take to reduce the spread of COVID-19 in addition to (not instead of) social distancing, frequent hand cleaning and other everyday preventive actions. A cloth face covering is not intended to protect the wearer, but may prevent the spread of virus from the wearer to others. This would be especially important in the event that someone is infected but does not have symptoms. A cloth face covering should be worn whenever people must go into public settings (grocery stores, for example). Medical masks and N-95 respirators are reserved for healthcare workers and other first responders, as recommended by current CDC guidance."
125,Should I go to work if there is an outbreak in my community?,"Follow the advice of your local health officials. Stay home if you can. Talk to your employer to discuss working from home, taking leave if you or someone in your household gets sick with COVID-19 symptoms, or if your child’s school is dismissed temporarily. Employers should be aware that more employees may need to stay at home to care for sick children or other sick family members than is usual in case of a community outbreak.",english,Frequently Asked Questions,"
Currently, there is no evidence to show that taking ibuprofen or naproxen can lead to a more severe infection of COVID-19.
People with high blood pressure should take their blood pressure medications, as directed, and work with their healthcare provider to make sure that their blood pressure is as well controlled as possible. Any changes to your medications should only be made by your healthcare provider.
"
126,Will businesses and schools close or stay closed in my community and for how long? Will there be a “stay at home” or “shelter in place” order in my community?,"CDC makes recommendations, shares information, and provides guidance to help slow down the spread of COVID-19 in the U.S. including guidance for schools and businesses. CDC regularly shares information and provides assistance to state, local, territorial, and tribal health authorities. These local authorities are responsible for making decisions including  “stay at home” or “shelter in place.” What is included in these orders and how they are implemented are also decided by local authorities. These decisions may also depend on many factors such as how the virus is spreading in a certain community.
Please contact your local health department to find out more.",english,Frequently Asked Questions,"Plan for potential changes at your workplace. Talk to your employer about their emergency operations plan, including sick-leave policies and telework options. Learn how businesses and employers can plan for and respond to COVID-19."
127,What are the symptoms and complications that COVID-19 can cause?,"Current symptoms reported for patients with COVID-19 have included mild to severe respiratory illness with fever1, cough, and difficulty breathing. Read about COVID-19 Symptoms.",english,Frequently Asked Questions,"When a US citizen dies outside the United States, the deceased person’s next of kin or legal representative should notify US consular officials at the Department of State. Consular personnel are available 24 hours a day, 7 days a week, to provide assistance to US citizens for overseas emergencies. If a family member, domestic partner, or legal representative is in a different country from the deceased person, he or she should call the Department of State’s Office of Overseas Citizens Services in Washington, DC, from 8 am to 5 pm Eastern time, Monday through Friday, at 888-407-4747 (toll-free) or 202-501-4444. For emergency assistance after working hours or on weekends and holidays, call the Department of State switchboard at 202-647-4000 and ask to speak with the Overseas Citizens Services duty officer. In addition, the US embassyexternal iconexternal iconexternal icon closest to or in the country where the US citizen died can provide assistance."
128,Should I be tested for COVID-19?,"Not everyone needs to be tested for COVID-19. For information about testing, see Testing for COVID-19.",english,Frequently Asked Questions,"Please refer to CDC’s requirements for bringing a dog to the United States. The current requirements for rabies vaccination apply to dogs imported from China, a high-risk country for rabies."
129,Where can I get tested for COVID-19?,"The process and locations for testing vary from place to place. Contact your state, local, tribal, or territorial department for more information, or reach out to a medical provider. State and local public health departments have received tests from CDC while medical providers are getting tests developed by commercial manufacturers. While supplies of these tests are increasing, it may still be difficult to find someplace to get tested. See Testing for COVID-19 for more information.",english,Frequently Asked Questions,"

Watch your child for any signs of illness.

If you see any sign of illness consistent with symptoms of COVID-19, particularly fever, cough, or shortness of breath, call your healthcare provider and keep your child at home and away from others as much as possible. Follow CDC’s guidance on “What to do if you are sick.”


Watch for signs of stress in your child.

Some common changes to watch for include excessive worry or sadness, unhealthy eating or sleeping habits, and difficulty with attention and concentration. For more information, see the “For Parents” section on CDC’s website, Manage Anxiety and Stress.
Take time to talk with your child or teen about the COVID-19 outbreak. Answer questions and share facts about COVID-19 in a way that your child or teen can understand.
Go to CDC’s Helping Children Cope with Emergencies or Talking with Children About COVID-19 for more information.


Teach and reinforce everyday preventive actions.

Parents and caretakers play an important role in teaching children to wash their hands. Explain that hand washing can keep them healthy and stop the virus from spreading to others.
Be a good role model—if you wash your hands often, they’re more likely to do the same.
Make handwashing a family activity.


Help your child stay active.

Encourage your child to play outdoors—it’s great for physical and mental health. Take a walk with your child or go on a bike ride.
Use indoor activity breaks (stretch breaks, dance breaks) throughout the day to help your child stay healthy and focused.


Help your child stay socially connected.

Reach out to friends and family via phone or video chats.
Write cards or letters to family members they may not be able to visit.
Some schools and non-profits, such as the Collaborative for Academic, Social, and Emotional Learningexternal iconexternal icon and The Yale Center for Emotional Intelligenceexternal iconexternal icon, have resources for social and emotional learning. Check to see if your school has tips and guidelines to help support social and emotional needs of your child.



"
130,Can a person test negative and later test positive for COVID-19?,"Using the CDC-developed diagnostic test, a negative result means that the virus that causes COVID-19 was not found in the person’s sample. In the early stages of infection, it is possible the virus will not be detected.
For COVID-19, a negative test result for a sample collected while a person has symptoms likely means that the COVID-19 virus is not causing their current illness.",english,Frequently Asked Questions,"CDC makes recommendations, shares information, and provides guidance to help slow down the spread of COVID-19 in the U.S. including guidance for schools and businesses. CDC regularly shares information and provides assistance to state, local, territorial, and tribal health authorities. These local authorities are responsible for making decisions including  “stay at home” or “shelter in place.” What is included in these orders and how they are implemented are also decided by local authorities. These decisions may also depend on many factors such as how the virus is spreading in a certain community.
Please contact your local health department to find out more."
131,Who is at higher risk for serious illness from COVID-19?,"COVID-19 is a new disease and there is limited information regarding risk factors for severe disease. Based on currently available information and clinical expertise, older adults and people of any age who have serious underlying medical conditions might be at higher risk for severe illness from COVID-19.
Based on what we know now, those at high-risk for severe illness from COVID-19 are:

People aged 65 years and older
People who live in a nursing home or long-term care facility

People of all ages with underlying medical conditions, particularly if not well controlled, including:

People with chronic lung disease or moderate to severe asthma
People who have serious heart conditions
People who are immunocompromised

Many conditions can cause a person to be immunocompromised, including cancer treatment, smoking, bone marrow or organ transplantation, immune deficiencies, poorly controlled HIV or AIDS, and prolonged use of corticosteroids and other immune weakening medications


People with severe obesity (body mass index [BMI] ≥40)
People with diabetes
People with chronic kidney disease undergoing dialysis
People with liver disease

",english,Frequently Asked Questions,"When a US citizen dies outside the United States, the deceased person’s next of kin or legal representative should notify US consular officials at the Department of State. Consular personnel are available 24 hours a day, 7 days a week, to provide assistance to US citizens for overseas emergencies. If a family member, domestic partner, or legal representative is in a different country from the deceased person, he or she should call the Department of State’s Office of Overseas Citizens Services in Washington, DC, from 8 am to 5 pm Eastern time, Monday through Friday, at 888-407-4747 (toll-free) or 202-501-4444. For emergency assistance after working hours or on weekends and holidays, call the Department of State switchboard at 202-647-4000 and ask to speak with the Overseas Citizens Services duty officer. In addition, the US embassyexternal iconexternal iconexternal icon closest to or in the country where the US citizen died can provide assistance."
132,What should people at higher risk of serious illness with COVID-19 do?,"If you are at higher risk of getting very sick from COVID-19, you should:

Stock up on supplies
Take everyday precautions to keep space between yourself and others
When you go out in public, keep away from others who are sick
Limit close contact and wash your hands often
Avoid crowds, cruise travel, and non-essential travel

If there is an outbreak in your community, stay home as much as possible. Watch for symptoms and emergency signs. If you get sick, stay home and call your doctor. More information on how to prepare, what to do if you get sick, and how communities and caregivers can support those at higher risk is available on People at Risk for Serious Illness from COVID-19.",english,Frequently Asked Questions,"Older adults and people who have serious underlying medical conditions are at highest risk of getting sick from COVID-19.

If others in your home are at particularly high risk for severe illness from COVID-19, consider extra precautions to separate your child from those people.
If you are unable to stay home with your child during school dismissals, carefully consider who might be best positioned to provide childcare. If someone at higher risk for COVID-19 will be providing care (older adult, such as a grandparent or someone with a serious underlying medical condition), limit your children’s contact with other people.
Consider postponing visits or trip to see older family members and grandparents. Connect virtually or by writing letters and sending via mail.

"
133,How were the underlying conditions for people considered higher risk of serious illness with COVID-19 selected?,"This list is based on:

What we are learning from the outbreak in other countries and in the United States.
What we know about risk from other respiratory infections, like flu.

As CDC gets more information about COVID-19 cases here in the United States, we will update this list as needed.",english,Frequently Asked Questions,"The virus that causes COVID-19 is thought to spread mainly from person to person, mainly through respiratory droplets produced when an infected person coughs or sneezes. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. Spread is more likely when people are in close contact with one another (within about 6 feet).
COVID-19 seems to be spreading easily and sustainably in the community (“community spread”) in many affected geographic areas. Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected.
Learn what is known about the spread of newly emerged coronaviruses."
134,Are there any medications I should avoid taking if I have COVID-19?,"
Currently, there is no evidence to show that taking ibuprofen or naproxen can lead to a more severe infection of COVID-19.
People with high blood pressure should take their blood pressure medications, as directed, and work with their healthcare provider to make sure that their blood pressure is as well controlled as possible. Any changes to your medications should only be made by your healthcare provider.
",english,Frequently Asked Questions,"CDC is working with other federal partners in a whole-of-government response. This is an emerging, rapidly evolving situation and CDC will continue to provide updated information as it becomes available. CDC works 24/7 to protect people’s health. More information about CDC’s response to COVID-19 is available online."
135,What about underlying medical conditions that are not included on this list?,"Based on available information, adults aged 65 years and older and people of any age with underlying medical conditions included on this list are at higher risk for severe illness and poorer outcomes from COVID-19. CDC is collecting and analyzing data regularly and will update the list when we learn more. People with underlying medical conditions not on the list might also be at higher risk and should consult with their healthcare provider if they are concerned.
We encourage all people, regardless of risk, to:

Take steps to protect yourself and others.
Call your healthcare provider if you are sick with a fever, cough, or shortness of breath.
Follow CDC travel guidelines and the recommendations of your state and local health officials.

",english,Frequently Asked Questions,"On February 11, 2020 the World Health Organization announced an official name for the disease that is causing the 2019 novel coronavirus outbreak, first identified in Wuhan China. The new name of this disease is coronavirus disease 2019, abbreviated as COVID-19. In COVID-19, ‘CO’ stands for ‘corona,’ ‘VI’ for ‘virus,’ and ‘D’ for disease. Formerly, this disease was referred to as “2019 novel coronavirus” or “2019-nCoV”.
There are many types of human coronaviruses including some that commonly cause mild upper-respiratory tract illnesses. COVID-19 is a new disease, caused be a novel (or new) coronavirus that has not previously been seen in humans. The name of this disease was selected following the World Health Organization (WHO) best practiceexternal iconexternal icon for naming of new human infectious diseases."
136,What does a well-controlled health condition mean?,"Generally, well-controlled means that your condition is stable, not life-threatening, and laboratory assessments and other findings are as similar as possible to those without the health condition. You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.",english,Frequently Asked Questions,"In light of new data about how COVID-19 spreads, along with evidence of widespread COVID-19 illness in communities across the country, CDC recommends that people wear a cloth face covering to cover their nose and mouth in the community setting. This is an additional public health measure people should take to reduce the spread of COVID-19 in addition to (not instead of) social distancing, frequent hand cleaning and other everyday preventive actions. A cloth face covering is not intended to protect the wearer, but may prevent the spread of virus from the wearer to others. This would be especially important in the event that someone is infected but does not have symptoms. A cloth face covering should be worn whenever people must go into public settings (grocery stores, for example). Medical masks and N-95 respirators are reserved for healthcare workers and other first responders, as recommended by current CDC guidance."
137,What does more severe illness mean?,Severity typically means how much impact the illness or condition has on your body’s function.  You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.,english,Frequently Asked Questions,"At this time, CDC has no data to suggest that this new coronavirus or other similar coronaviruses are spread by mosquitoes or ticks. The main way that COVID-19 spreads is from person to person. See How Coronavirus Spreads for more information."
138,Are people with disabilities at higher risk?,"Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19.  Some people with physical limitations or other disabilities might be at a higher risk of infection because of their underlying medical condition.

People with certain disabilities might experience higher rates of chronic health conditions that put them at higher risk of serious illness and poorer outcomes from COVID-19. Adults with disabilities are three times more likely to have heart disease, stroke, diabetes, or cancer than adults without disabilities.

You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.",english,Frequently Asked Questions,"Please refer to CDC’s requirements for bringing a dog to the United States. The current requirements for rabies vaccination apply to dogs imported from China, a high-risk country for rabies."
139,What should healthcare professionals and health departments do?,"For recommendations and guidance on persons under investigation; infection control, including personal protective equipment guidance; home care and isolation; and case investigation, see Information for Healthcare Professionals. For information on specimen collection and shipment, see Information for Laboratories. For information for public health professional on COVID-19, see Information for Public Health Professionals.",english,Frequently Asked Questions,"Visit the COVID-19 Prevention and Treatment page to learn about how to protect yourself from respiratory illnesses, like COVID-19."
140,Am I at risk if I go to a funeral or visitation service for someone who died of COVID-19?,There is currently no known risk associated with being in the same room at a funeral or visitation service with the body of someone who died of COVID-19.,english,Frequently Asked Questions,"You should restrict contact with pets and other animals while you are sick with COVID-19, just like you would around other people. Although there have not been reports of pets becoming sick with COVID-19 in the United States, it is still recommended that people sick with COVID-19 limit contact with animals until more information is known about the new coronavirus. When possible, have another member of your household care for your animals while you are sick. If you are sick with COVID-19, avoid contact with your pet, including petting, snuggling, being kissed or licked, and sharing food. If you must care for your pet or be around animals while you are sick, wash your hands before and after you interact with pets."
